,AUC_baseline,AUC01_baseline,PPV_baseline,AUC_structure,AUC01_structure,PPV_structure
5211,0.9514226115401816,0.8954454519512606,0.6982017200938233,0.949785593867614,0.8880211976660141,0.6982017200938233
5212,0.9444333572518058,0.8897716103379516,0.7193119624706802,0.9415765183437983,0.88531598472557,0.7169663799843627
5213,0.9485730744419304,0.8915588208875154,0.6950742767787333,0.9476843758175767,0.8855386049513292,0.6833463643471462
5214,0.9413723437130983,0.8900648767273418,0.706020328381548,0.9408953238295755,0.8855954940942898,0.7036747458952306
5215,0.9455912017213961,0.8960689926249058,0.7404222048475372,0.9438803811111416,0.8905955725368391,0.7365129007036747
5216,0.9516806979452292,0.9003937981143957,0.7326035965598123,0.9502146334542674,0.8918468035106262,0.7114933541829555
5217,0.9453026297699991,0.8895989952880634,0.7044566067240031,0.9436166833878575,0.8850801717905719,0.6872556684910086
5218,0.946299213616492,0.8914395056422302,0.7154026583268178,0.944414526787982,0.8851634706227225,0.7044566067240031
5219,0.9429192225285883,0.8939847480133198,0.7294761532447225,0.9434017238556816,0.8882008718820177,0.7138389366692729
5220,0.9391294788269706,0.885107040232408,0.6841282251759186,0.9370707038217818,0.8775073240030753,0.6763096168881939
5221,0.9435508259958972,0.8901828566942972,0.7154026583268178,0.9430696963109304,0.8835848229106072,0.709147771696638
5222,0.9458472448863326,0.8925615689030847,0.6974198592650508,0.9440919491261921,0.8880181904680734,0.6856919468334637
5223,0.9399712779577605,0.8879668890143428,0.6950742767787333,0.9387099317674443,0.8814223221582708,0.6888193901485535
5224,0.9427608238628093,0.8896272856609269,0.7107114933541829,0.9420515945793038,0.8839516994117274,0.6880375293197811
5225,0.9481361173567069,0.8928428192935751,0.7122752150117279,0.9463182232447762,0.8865801046315609,0.7107114933541829
5226,0.9411796837676041,0.8898652168959,0.7114933541829555,0.939180886889997,0.8819189885333378,0.6927286942924159
5227,0.9462878891191849,0.8916759386982434,0.7419859265050821,0.9438575900483522,0.8858189572457167,0.7333854573885848
5228,0.9463042483203774,0.8868456236169875,0.6856919468334637,0.9446926057813154,0.8821861866570412,0.6786551993745114
5229,0.952644074409785,0.9022231537546426,0.7146207974980453,0.9500573682077073,0.8940844947053725,0.7021110242376857
5230,0.9375147911162733,0.885967735280129,0.6794370602032838,0.9353076986194084,0.8805193205261909,0.6770914777169664
5231,0.9449811524751636,0.8866983047535261,0.6966379984362784,0.9431982657147674,0.8828358054515482,0.6927286942924159
5232,0.9420434019031645,0.8923379309538622,0.7138389366692729,0.9403434327948365,0.8855484658266404,0.709147771696638
5233,0.9492367065441377,0.8963155746090468,0.7114933541829555,0.9474428186187388,0.8923640824934449,0.7075840500390931
